<1,1,#get total number of arguments passed.,COMMENT>
<2,1,$n,ID>
<2,4,=,EQUALS>
<2,6,scalar,KEYWORD>
<2,12,(,LPAREN>
<2,13,@_,PARAMETERARRAY>
<2,15,),RPAREN>
<2,16,;,SEMI>
<3,1,$sum,ID>
<3,6,=,EQUALS>
<3,8,0,INTEGER>
<3,9,;,SEMI>
<4,1,foreach,KEYWORD>
<4,9,$item,ID>
<4,14,(,LPAREN>
<4,15,@_,PARAMETERARRAY>
<4,17,),RPAREN>
<4,19,{,LBRACE>
<5,1,$sum,ID>
<5,6,+=,PLUSEQUAL>
<5,9,$item,ID>
<5,14,;,SEMI>
<6,1,},RBRACE>
<7,1,$average,ID>
<7,10,=,EQUALS>
<7,12,$sum,ID>
<7,17,+,PLUS>
<7,19,$n,ID>
<7,21,;,SEMI>
Total number of tokens generated = 29
